assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_008244725.1	PRJNA224116	SAMN11157607			na		1280	1280	Staphylococcus aureus	strain=NRS384-rpoB-H481N-NCV		latest	Complete Genome	Major	Full	2019/09/03	ASM824472v1	University of Melbourne	GCA_008244725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/244/725/GCF_008244725.1_ASM824472v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008244725.1/GCF_008244725.1_ASM824472v1_genomic.gbff.gz
GCF_008244745.1	PRJNA224116	SAMN11157690			na		1280	1280	Staphylococcus aureus	strain=NRS384-rpoB-H481N-SCV		latest	Complete Genome	Major	Full	2019/09/03	ASM824474v1	University of Melbourne	GCA_008244745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/244/745/GCF_008244745.1_ASM824474v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008244745.1/GCF_008244745.1_ASM824474v1_genomic.gbff.gz
GCF_008329865.1	PRJNA224116	SAMN09882578			na		1280	1280	Staphylococcus aureus	strain=CFSAN082782		latest	Complete Genome	Major	Full	2019/09/09	ASM832986v1	Brigham & Women's Hospital	GCA_008329865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/865/GCF_008329865.1_ASM832986v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008329865.1/GCF_008329865.1_ASM832986v1_genomic.gbff.gz
GCF_008329885.1	PRJNA224116	SAMN09882579			na		1280	1280	Staphylococcus aureus	strain=CFSAN082781		latest	Complete Genome	Major	Full	2019/09/09	ASM832988v1	Brigham & Women's Hospital	GCA_008329885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/885/GCF_008329885.1_ASM832988v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008329885.1/GCF_008329885.1_ASM832988v1_genomic.gbff.gz
GCF_008330045.1	PRJNA224116	SAMN11431687			na		1280	1280	Staphylococcus aureus	strain=VGC1		latest	Complete Genome	Major	Full	2019/09/09	ASM833004v1	National Health Research Institutes	GCA_008330045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/045/GCF_008330045.1_ASM833004v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008330045.1/GCF_008330045.1_ASM833004v1_genomic.gbff.gz
GCF_008330585.1	PRJNA224116	SAMN09882580			na		1280	1280	Staphylococcus aureus	strain=CFSAN082783		latest	Complete Genome	Major	Full	2019/09/09	ASM833058v1	Brigham & Women's Hospital	GCA_008330585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/585/GCF_008330585.1_ASM833058v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008330585.1/GCF_008330585.1_ASM833058v1_genomic.gbff.gz
GCF_008370815.1	PRJNA224116	SAMN12325110			na		1280	1280	Staphylococcus aureus	strain=16445		latest	Complete Genome	Major	Full	2019/09/12	ASM837081v1	Cepheid	GCA_008370815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/370/815/GCF_008370815.1_ASM837081v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008370815.1/GCF_008370815.1_ASM837081v1_genomic.gbff.gz
GCF_008462245.1	PRJNA224116	SAMN11611367			na		1280	1280	Staphylococcus aureus	strain=GD1706		latest	Complete Genome	Major	Full	2019/09/17	ASM846224v1	University of Calgary	GCA_008462245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/462/245/GCF_008462245.1_ASM846224v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008462245.1/GCF_008462245.1_ASM846224v1_genomic.gbff.gz
GCF_008619075.1	PRJNA224116	SAMD00180470			na		1280	1280	Staphylococcus aureus	strain=KUN1163		latest	Complete Genome	Major	Full	2019/09/03	ASM861907v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/075/GCF_008619075.1_ASM861907v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619075.1/GCF_008619075.1_ASM861907v1_genomic.gbff.gz
GCF_008619235.1	PRJNA224116	SAMD00180471			na		1280	1280	Staphylococcus aureus	strain=KUH140013		latest	Complete Genome	Major	Full	2019/09/03	ASM861923v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/235/GCF_008619235.1_ASM861923v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619235.1/GCF_008619235.1_ASM861923v1_genomic.gbff.gz
GCF_008619415.1	PRJNA224116	SAMD00180472			na		1280	1280	Staphylococcus aureus	strain=KUH140046		latest	Complete Genome	Major	Full	2019/09/03	ASM861941v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/415/GCF_008619415.1_ASM861941v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619415.1/GCF_008619415.1_ASM861941v1_genomic.gbff.gz
GCF_008619595.1	PRJNA224116	SAMD00180473			na		1280	1280	Staphylococcus aureus	strain=KUH140087		latest	Complete Genome	Major	Full	2019/09/03	ASM861959v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/595/GCF_008619595.1_ASM861959v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619595.1/GCF_008619595.1_ASM861959v1_genomic.gbff.gz
GCF_008619795.1	PRJNA224116	SAMD00180474			na		1280	1280	Staphylococcus aureus	strain=KUH140331		latest	Complete Genome	Major	Full	2019/09/03	ASM861979v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/795/GCF_008619795.1_ASM861979v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619795.1/GCF_008619795.1_ASM861979v1_genomic.gbff.gz
GCF_008619935.1	PRJNA224116	SAMD00180475			na		1280	1280	Staphylococcus aureus	strain=KUH180038		latest	Complete Genome	Major	Full	2019/09/03	ASM861993v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008619935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/619/935/GCF_008619935.1_ASM861993v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008619935.1/GCF_008619935.1_ASM861993v1_genomic.gbff.gz
GCF_008620055.1	PRJNA224116	SAMD00180476			na		1280	1280	Staphylococcus aureus	strain=KUH180062		latest	Complete Genome	Major	Full	2019/09/03	ASM862005v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008620055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/620/055/GCF_008620055.1_ASM862005v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008620055.1/GCF_008620055.1_ASM862005v1_genomic.gbff.gz
GCF_008620175.1	PRJNA224116	SAMD00180477			na		1280	1280	Staphylococcus aureus	strain=KUH180129		latest	Complete Genome	Major	Full	2019/09/03	ASM862017v1	Department of Microbiology, Graduate School of Medicine, Kyoto University	GCA_008620175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/620/175/GCF_008620175.1_ASM862017v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008620175.1/GCF_008620175.1_ASM862017v1_genomic.gbff.gz
GCF_008693765.1	PRJNA224116	SAMN11056375			na		1280	1280	Staphylococcus aureus	strain=FDAARGOS_660		latest	Complete Genome	Major	Full	2019/09/25	ASM869376v1	US Food and Drug Administration	GCA_008693765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/765/GCF_008693765.1_ASM869376v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_008693765.1/GCF_008693765.1_ASM869376v1_genomic.gbff.gz
GCF_009176765.1	PRJNA224116	SAMD00164374			na		1280	1280	Staphylococcus aureus	strain=KG-03		latest	Complete Genome	Major	Full	2019/03/27	ASM917676v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_009176765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/176/765/GCF_009176765.1_ASM917676v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009176765.1/GCF_009176765.1_ASM917676v1_genomic.gbff.gz
GCF_009176785.1	PRJNA224116	SAMD00164376			na		1280	1280	Staphylococcus aureus	strain=KG-18		latest	Complete Genome	Major	Full	2019/03/27	ASM917678v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_009176785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/176/785/GCF_009176785.1_ASM917678v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009176785.1/GCF_009176785.1_ASM917678v1_genomic.gbff.gz
GCF_009176875.1	PRJNA224116	SAMD00164378			na		1280	1280	Staphylococcus aureus	strain=KG-22		latest	Complete Genome	Major	Full	2019/03/27	ASM917687v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_009176875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/176/875/GCF_009176875.1_ASM917687v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009176875.1/GCF_009176875.1_ASM917687v1_genomic.gbff.gz
GCF_009650155.1	PRJNA224116	SAMN03763989			na		1280	1280	Staphylococcus aureus	strain=CFSAN007894		latest	Complete Genome	Major	Full	2019/11/12	ASM965015v1	FDA Center for Food Safety and Applied Nutrition	GCA_009650155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/155/GCF_009650155.1_ASM965015v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009650155.1/GCF_009650155.1_ASM965015v1_genomic.gbff.gz
GCF_009684655.1	PRJNA224116	SAMN13011721			na		1280	1280	Staphylococcus aureus	strain=ZY05		latest	Complete Genome	Major	Full	2019/11/20	ASM968465v1	Zhejiang University	GCA_009684655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/684/655/GCF_009684655.1_ASM968465v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009684655.1/GCF_009684655.1_ASM968465v1_genomic.gbff.gz
GCF_009728755.1	PRJNA224116	SAMN10250996			na		1280	1280	Staphylococcus aureus	strain=ST20130944		latest	Complete Genome	Major	Full	2019/12/04	ASM972875v1	LNCC	GCA_009728755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/728/755/GCF_009728755.1_ASM972875v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009728755.1/GCF_009728755.1_ASM972875v1_genomic.gbff.gz
GCF_009728775.1	PRJNA224116	SAMN10251108			na		1280	1280	Staphylococcus aureus	strain=ST20130945		latest	Complete Genome	Major	Full	2019/12/04	ASM972877v1	LNCC	GCA_009728775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/728/775/GCF_009728775.1_ASM972877v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009728775.1/GCF_009728775.1_ASM972877v1_genomic.gbff.gz
GCF_009731595.1	PRJNA224116	SAMD00071152			na		1280	1280	Staphylococcus aureus	strain=Tokyo12480		latest	Complete Genome	Major	Full	2019/11/25	ASM973159v1	Microbiology, Tokyo Metropolitan Institute of Public Health	GCA_009731595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/731/595/GCF_009731595.1_ASM973159v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009731595.1/GCF_009731595.1_ASM973159v1_genomic.gbff.gz
GCF_009739675.1	PRJNA224116	SAMN10374695			na		1280	1280	Staphylococcus aureus	strain=P2D8C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973967v1	Hebrew University	GCA_009739675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/675/GCF_009739675.1_ASM973967v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739675.1/GCF_009739675.1_ASM973967v1_genomic.gbff.gz
GCF_009739695.1	PRJNA224116	SAMN10374694			na		1280	1280	Staphylococcus aureus	strain=P2D1C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973969v1	Hebrew University	GCA_009739695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/695/GCF_009739695.1_ASM973969v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739695.1/GCF_009739695.1_ASM973969v1_genomic.gbff.gz
GCF_009739715.1	PRJNA224116	SAMN10374696			na		1280	1280	Staphylococcus aureus	strain=P2D15C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973971v1	Hebrew University	GCA_009739715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/715/GCF_009739715.1_ASM973971v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739715.1/GCF_009739715.1_ASM973971v1_genomic.gbff.gz
GCF_009739735.1	PRJNA224116	SAMN10374691			na		1280	1280	Staphylococcus aureus	strain=P1D9C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973973v1	Hebrew University	GCA_009739735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/735/GCF_009739735.1_ASM973973v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739735.1/GCF_009739735.1_ASM973973v1_genomic.gbff.gz
GCF_009739755.1	PRJNA224116	SAMN10374690			na		1280	1280	Staphylococcus aureus	strain=P1D8C2		latest	Complete Genome	Major	Full	2019/12/11	ASM973975v1	Hebrew University	GCA_009739755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/755/GCF_009739755.1_ASM973975v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739755.1/GCF_009739755.1_ASM973975v1_genomic.gbff.gz
GCF_009739775.1	PRJNA224116	SAMN10374689			na		1280	1280	Staphylococcus aureus	strain=P1D8C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973977v1	Hebrew University	GCA_009739775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/775/GCF_009739775.1_ASM973977v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739775.1/GCF_009739775.1_ASM973977v1_genomic.gbff.gz
GCF_009739795.1	PRJNA224116	SAMN10374688			na		1280	1280	Staphylococcus aureus	strain=P1D7C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973979v1	Hebrew University	GCA_009739795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/795/GCF_009739795.1_ASM973979v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739795.1/GCF_009739795.1_ASM973979v1_genomic.gbff.gz
GCF_009739825.1	PRJNA224116	SAMN10374686			na		1280	1280	Staphylococcus aureus	strain=P1D5C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973982v1	Hebrew University	GCA_009739825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/825/GCF_009739825.1_ASM973982v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739825.1/GCF_009739825.1_ASM973982v1_genomic.gbff.gz
GCF_009739845.1	PRJNA224116	SAMN10374685			na		1280	1280	Staphylococcus aureus	strain=P1D1C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973984v1	Hebrew University	GCA_009739845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/845/GCF_009739845.1_ASM973984v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739845.1/GCF_009739845.1_ASM973984v1_genomic.gbff.gz
GCF_009739865.1	PRJNA224116	SAMN10374693			na		1280	1280	Staphylococcus aureus	strain=P1D14C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973986v1	Hebrew University	GCA_009739865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/865/GCF_009739865.1_ASM973986v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739865.1/GCF_009739865.1_ASM973986v1_genomic.gbff.gz
GCF_009739885.1	PRJNA224116	SAMN10374692			na		1280	1280	Staphylococcus aureus	strain=P1D12C1		latest	Complete Genome	Major	Full	2019/12/11	ASM973988v1	Hebrew University	GCA_009739885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/885/GCF_009739885.1_ASM973988v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009739885.1/GCF_009739885.1_ASM973988v1_genomic.gbff.gz
GCF_009740205.1	PRJNA224116	SAMN10374687			na		1280	1280	Staphylococcus aureus	strain=P1D5C2		latest	Complete Genome	Major	Full	2019/12/11	ASM974020v1	Hebrew University	GCA_009740205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/740/205/GCF_009740205.1_ASM974020v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009740205.1/GCF_009740205.1_ASM974020v1_genomic.gbff.gz
GCF_009769095.1	PRJNA224116	SAMN12721400			na		1280	1280	Staphylococcus aureus	strain=NCCP 16830		latest	Complete Genome	Major	Full	2019/12/19	ASM976909v1	Korea Centers for Disease Control and Prevention	GCA_009769095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/095/GCF_009769095.1_ASM976909v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009769095.1/GCF_009769095.1_ASM976909v1_genomic.gbff.gz
GCF_009857055.1	PRJNA224116	SAMN13698767			na		1280	1280	Staphylococcus aureus	strain=RJ1267		latest	Complete Genome	Major	Full	2020/01/12	ASM985705v1	USTC	GCA_009857055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/055/GCF_009857055.1_ASM985705v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009857055.1/GCF_009857055.1_ASM985705v1_genomic.gbff.gz
GCF_009911815.1	PRJNA224116	SAMN11175638			na		1280	1280	Staphylococcus aureus	strain=UP_1522		latest	Complete Genome	Major	Full	2020/01/22	ASM991181v1	University Hospital Duesseldorf	GCA_009911815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/815/GCF_009911815.1_ASM991181v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009911815.1/GCF_009911815.1_ASM991181v1_genomic.gbff.gz
GCF_009911835.1	PRJNA224116	SAMN11175644			na		1280	1280	Staphylococcus aureus	strain=UP_1632		latest	Complete Genome	Major	Full	2020/01/22	ASM991183v1	University Hospital Duesseldorf	GCA_009911835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/835/GCF_009911835.1_ASM991183v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009911835.1/GCF_009911835.1_ASM991183v1_genomic.gbff.gz
GCF_009911855.1	PRJNA224116	SAMN11175634			na		1280	1280	Staphylococcus aureus	strain=UP_1433		latest	Complete Genome	Major	Full	2020/01/22	ASM991185v1	University Hospital Duesseldorf	GCA_009911855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/855/GCF_009911855.1_ASM991185v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009911855.1/GCF_009911855.1_ASM991185v1_genomic.gbff.gz
GCF_009911895.1	PRJNA224116	SAMN11175621			na		1280	1280	Staphylococcus aureus	strain=UP_967		latest	Complete Genome	Major	Full	2020/01/22	ASM991189v1	University Hospital Duesseldorf	GCA_009911895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/895/GCF_009911895.1_ASM991189v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009911895.1/GCF_009911895.1_ASM991189v1_genomic.gbff.gz
GCF_009911965.1	PRJNA224116	SAMN11175633			na		1280	1280	Staphylococcus aureus	strain=UP_1395		latest	Complete Genome	Major	Full	2020/01/22	ASM991196v1	University Hospital Duesseldorf	GCA_009911965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/965/GCF_009911965.1_ASM991196v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009911965.1/GCF_009911965.1_ASM991196v1_genomic.gbff.gz
GCF_009912015.1	PRJNA224116	SAMN11175637			na		1280	1280	Staphylococcus aureus	strain=UP_1500		latest	Complete Genome	Major	Full	2020/01/22	ASM991201v1	University Hospital Duesseldorf	GCA_009912015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/015/GCF_009912015.1_ASM991201v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912015.1/GCF_009912015.1_ASM991201v1_genomic.gbff.gz
GCF_009912035.1	PRJNA224116	SAMN11175641			na		1280	1280	Staphylococcus aureus	strain=UP_1572		latest	Complete Genome	Major	Full	2020/01/22	ASM991203v1	University Hospital Duesseldorf	GCA_009912035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/035/GCF_009912035.1_ASM991203v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912035.1/GCF_009912035.1_ASM991203v1_genomic.gbff.gz
GCF_009912055.1	PRJNA224116	SAMN11175643			na		1280	1280	Staphylococcus aureus	strain=UP_1612		latest	Complete Genome	Major	Full	2020/01/22	ASM991205v1	University Hospital Duesseldorf	GCA_009912055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/055/GCF_009912055.1_ASM991205v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912055.1/GCF_009912055.1_ASM991205v1_genomic.gbff.gz
GCF_009912075.1	PRJNA224116	SAMN11175645			na		1280	1280	Staphylococcus aureus	strain=UP_1654		latest	Complete Genome	Major	Full	2020/01/22	ASM991207v1	University Hospital Duesseldorf	GCA_009912075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/075/GCF_009912075.1_ASM991207v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912075.1/GCF_009912075.1_ASM991207v1_genomic.gbff.gz
GCF_009912095.1	PRJNA224116	SAMN11175628			na		1280	1280	Staphylococcus aureus	strain=UP_1209		latest	Complete Genome	Major	Full	2020/01/22	ASM991209v1	University Hospital Duesseldorf	GCA_009912095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/095/GCF_009912095.1_ASM991209v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912095.1/GCF_009912095.1_ASM991209v1_genomic.gbff.gz
GCF_009912115.1	PRJNA224116	SAMN11175616			na		1280	1280	Staphylococcus aureus	strain=UP_794		latest	Complete Genome	Major	Full	2020/01/22	ASM991211v1	University Hospital Duesseldorf	GCA_009912115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/115/GCF_009912115.1_ASM991211v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912115.1/GCF_009912115.1_ASM991211v1_genomic.gbff.gz
GCF_009912155.1	PRJNA224116	SAMN11175640			na		1280	1280	Staphylococcus aureus	strain=UP_1559		latest	Complete Genome	Major	Full	2020/01/22	ASM991215v1	University Hospital Duesseldorf	GCA_009912155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/155/GCF_009912155.1_ASM991215v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912155.1/GCF_009912155.1_ASM991215v1_genomic.gbff.gz
GCF_009912195.1	PRJNA224116	SAMN11175630			na		1280	1280	Staphylococcus aureus	strain=UP_1278		latest	Complete Genome	Major	Full	2020/01/22	ASM991219v1	University Hospital Duesseldorf	GCA_009912195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/195/GCF_009912195.1_ASM991219v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912195.1/GCF_009912195.1_ASM991219v1_genomic.gbff.gz
GCF_009912255.1	PRJNA224116	SAMN11175620			na		1280	1280	Staphylococcus aureus	strain=UP_926		latest	Complete Genome	Major	Full	2020/01/22	ASM991225v1	University Hospital Duesseldorf	GCA_009912255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/255/GCF_009912255.1_ASM991225v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912255.1/GCF_009912255.1_ASM991225v1_genomic.gbff.gz
GCF_009912295.1	PRJNA224116	SAMN11175639			na		1280	1280	Staphylococcus aureus	strain=UP_1539		latest	Complete Genome	Major	Full	2020/01/22	ASM991229v1	University Hospital Duesseldorf	GCA_009912295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/295/GCF_009912295.1_ASM991229v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912295.1/GCF_009912295.1_ASM991229v1_genomic.gbff.gz
GCF_009912335.1	PRJNA224116	SAMN11175631			na		1280	1280	Staphylococcus aureus	strain=UP_1313		latest	Complete Genome	Major	Full	2020/01/22	ASM991233v1	University Hospital Duesseldorf	GCA_009912335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/335/GCF_009912335.1_ASM991233v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912335.1/GCF_009912335.1_ASM991233v1_genomic.gbff.gz
GCF_009912355.1	PRJNA224116	SAMN11175629			na		1280	1280	Staphylococcus aureus	strain=UP_1239		latest	Complete Genome	Major	Full	2020/01/22	ASM991235v1	University Hospital Duesseldorf	GCA_009912355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/355/GCF_009912355.1_ASM991235v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_009912355.1/GCF_009912355.1_ASM991235v1_genomic.gbff.gz
